                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7942,                 3.1468,                 1.2434,                0.42659,                0.74312,                0.60081,                0.41937,                 1.0698,                 1.5916,                0.98428,               0.070789,              0.0032456,              0.0032456
                      1,                 1.3476,                 1.3075,                  1.046,                0.76914,                0.78313,                0.92378,                0.67468,                 1.0182,                 0.9855,                0.95424,               0.040529,              0.0063184,              0.0063184
                      2,                  1.331,                 1.0637,                 1.0451,                0.93651,                0.89095,                0.96553,                0.69197,                 1.0341,                0.84999,                0.96735,               0.010004,              0.0091272,              0.0091272
                      3,                 1.3158,                0.98125,                 1.0267,                0.96997,                0.96646,                0.98502,                0.71051,                 1.0332,                0.66511,                0.96243,               0.008812,               0.008812,               0.008812
                      4,                 1.2629,                0.86433,                 1.0141,                0.94772,                0.95881,                0.97557,                0.73854,                0.90313,                0.65082,                 0.9326,               0.008812,               0.008812,               0.008812
                      5,                 1.2088,                0.76607,                0.99918,                0.95586,                0.98672,                0.98448,                0.70539,                  1.054,                0.60602,                0.97644,               0.008416,               0.008416,               0.008416
                      6,                  1.194,                0.71443,                 0.9909,                0.98084,                0.97577,                0.98398,                0.74102,                0.96414,                0.52028,                0.93729,                0.00802,                0.00802,                0.00802
                      7,                  1.157,                0.65682,                0.97467,                0.96297,                0.98695,                0.98544,                0.70704,                 1.0929,                0.55426,                0.96845,               0.007624,               0.007624,               0.007624
                      8,                 1.1083,                 0.6338,                0.97254,                0.96695,                0.97409,                 0.9861,                0.74396,                0.95538,                0.49871,                0.93551,               0.007228,               0.007228,               0.007228
                      9,                 1.1015,                0.60652,                0.97206,                0.97745,                0.98948,                0.98336,                0.76372,                0.88681,                0.49728,                0.91757,               0.006832,               0.006832,               0.006832
                     10,                 1.0696,                0.60634,                0.96861,                0.97796,                0.98874,                0.98554,                0.75634,                0.90616,                0.46276,                 0.9242,               0.006436,               0.006436,               0.006436
                     11,                 1.0426,                 0.5961,                 0.9583,                 0.9821,                0.98944,                0.98562,                0.74737,                0.92252,                 0.4739,                0.93085,                0.00604,                0.00604,                0.00604
                     12,                  1.031,                0.58639,                0.94014,                0.97519,                0.98656,                0.98426,                0.75096,                0.92492,                 0.4437,                0.92373,               0.005644,               0.005644,               0.005644
                     13,                 1.0244,                0.55193,                0.94901,                0.98061,                0.99059,                0.98416,                0.76478,                0.88714,                0.43395,                0.91763,               0.005248,               0.005248,               0.005248
                     14,                 1.0049,                0.53487,                0.94419,                0.98263,                0.99064,                0.98505,                0.77664,                0.88225,                0.41966,                0.91194,               0.004852,               0.004852,               0.004852
                     15,                0.95368,                0.49063,                0.96341,                0.98535,                0.98697,                0.98484,                0.76954,                0.84137,                0.41877,                0.90349,               0.004456,               0.004456,               0.004456
                     16,                0.93347,                0.47251,                0.95398,                0.98289,                0.98549,                0.98605,                0.76748,                0.86258,                0.41525,                0.90949,                0.00406,                0.00406,                0.00406
                     17,                0.92606,                0.45992,                0.94195,                0.98403,                0.98121,                0.98743,                0.78248,                0.83324,                0.39857,                0.90442,               0.003664,               0.003664,               0.003664
                     18,                0.90542,                0.44532,                 0.9479,                0.98447,                0.99147,                0.98495,                0.78321,                0.82574,                 0.3858,                0.90272,               0.003268,               0.003268,               0.003268
                     19,                0.88829,                0.43669,                0.93363,                0.98243,                 0.9886,                 0.9845,                0.78085,                 0.8435,                0.39631,                0.90615,               0.002872,               0.002872,               0.002872
                     20,                0.88227,                0.42995,                0.94268,                0.98451,                0.98926,                0.98372,                 0.7833,                0.82873,                  0.391,                0.90614,               0.002476,               0.002476,               0.002476
                     21,                0.87191,                0.42283,                0.94189,                0.98704,                0.98839,                 0.9838,                 0.7859,                0.82614,                0.38521,                0.89989,                0.00208,                0.00208,                0.00208
                     22,                0.86944,                0.42126,                0.93825,                0.98279,                0.99301,                0.98383,                0.78711,                0.82233,                0.38107,                0.89938,               0.001684,               0.001684,               0.001684
                     23,                0.83263,                0.40245,                0.91711,                0.98738,                0.98806,                0.98467,                0.78243,                 0.8532,                0.37658,                 0.9051,               0.001288,               0.001288,               0.001288
                     24,                0.83203,                0.39882,                0.91431,                0.98391,                0.98859,                0.98518,                0.78787,                0.82968,                0.36538,                0.90258,               0.000892,               0.000892,               0.000892
